,created_at,id,text
29,2022-03-31T10:03:27.000Z,1509471425274413057,"In Will Smiths movie king richards he always tells his daughters to stay humble whether u win or lose
and in real life he wasn't abel to handel his temper for 2 minutes.
#ChrisRock #WilllSmith #Oscars2022"
30,2022-03-31T10:02:56.000Z,1509471295502798848,@FoxNews It's done already! War over? COVID? Gas Prices? Insurrection? #seethefaces #KarenMasterClass #StupidSOB #Oscars2022 #ChrisRock #ChrisRockRocks #WillSmith #QL #TBT
31,2022-03-31T10:02:42.000Z,1509471237155737608,@NickKyrgios what a pathetic weak ass bitch boi display at Miami this week. Name a faster way to lose all respect. You and Will Smith should hang out and talk about how emotionally weak cucks you both are #MiamiOpen #Oscars #Oscars2022
0,2022-03-31T11:59:45.000Z,1509500694788780033,@amyschumer @iamwandasykes @willsmith #WillSmith shd have been thrown out by the security at the #Oscars2022  Apparently Will was told to leave but he refused. He doesn't own the building! Really poor behaviour from the #Oscars2022 allowing Will to receive a standing ovation and face no criminal charges for assault
1,2022-03-31T11:59:14.000Z,1509500564199161859,So he was asked to leave and he refused #Oscars2022
2,2022-03-31T11:57:02.000Z,1509500011645747200,"Let no man say when he is tempted, “I am tempted by God,” for God cannot be tempted with evil; neither does He tempt anyone.
James 1:13
God works in miraculous ways not in sin; Judas fell for that deception!
#Qatar2022 #WorldCup2022 #Russia #UkraineWar #Oscars2022 #Pakistan"
3,2022-03-31T11:56:56.000Z,1509499985964019712,"@DailyMailUK Both had massive viewing #PrincePhilip  memorial &amp; #Oscars2022 , so they are having both now.

They have to make a  living to support themselves....
One foot wrong everything will tumble down .......
#MSBNM"
4,2022-03-31T11:56:53.000Z,1509499971829403648,#WillSmith it was not the slap. It was the realisation that you are as poor a character as any piece of shite. BLM is shite. Black elites are the new priveledged.Character is everything and you are a pathetic person of weak character. #Oscars2022
5,2022-03-31T11:54:18.000Z,1509499323591049221,Anyone want to bet that there are already talks underway in Hollywood for GI Jane 2 starring Jada Pinkett Smith? #Oscars2022 #GIJane2 #Jada
6,2022-03-31T11:53:28.000Z,1509499114219839492,"So #ChrisRock apolgozied to #WandaSykes but #WillSmith didn't? 

Yikes! Says so much. 

#Oscars2022"
7,2022-03-31T11:51:35.000Z,1509498639181303811,Let’s agree Will and Chris are both selfish pricks…the slap and Chris’ idiotic joke calling the producers “four white guys” diminished the achievement.#chrisrockwillsmith #SummerOfSoul #Oscars2022
8,2022-03-31T11:48:44.000Z,1509497922567741443,#Oscars2022 : I could not care less. The contrast between that 'story' and the atrocities being suffered by the #Ukrainian  people is brutal. A load of overpampered narcissists knocking war crimes and dire UK response to refugees off the news agenda is shameful.
9,2022-03-31T11:46:49.000Z,1509497438549250053,"In fact, she looked lovely at the Oscars.  There was no reason for her hurt feelings. There was no reason for Will's violence - except his vapid wife's over-sensitivity.  
Can we get past this story now, which has zero impact on the average person's life? #Oscars2022 #WillSmith"
10,2022-03-31T11:46:17.000Z,1509497306340548611,What's the root cause of the incident at the Oscars? Jada 'suffers' from some condition- so she chose to be offended at Chris Rock's harmless joke.  It's a good thing she wasn't around for Dean Martin's brutal celebrity roast show in the 70s. #Oscars2022 #WillSmith
11,2022-03-31T11:44:31.000Z,1509496860557332493,"Wetin Dey Make Me Laugh Fit Make Me Deck U Slap Later
-Will Smith
#oscars2022
#willsmith
#chrisrock"
12,2022-03-31T11:42:24.000Z,1509496330309275650,#Oscars2022 If that happened to a woman everyone would be all oh no that's not rite other famous people have had there careers tarnished for stuff that happened 20 years ago or more.He should be charged he isn't Special in anyway and FYI he was laughing too.
13,2022-03-31T11:41:19.000Z,1509496054227644417,"Despite the ""drama"" of #Oscars2022 lets not forget we had the first deaf man to win an Oscar in Troy Kotsur, Arianna DeBose is the first openly queen woman to win an Oscar, and the GI Jane movie genuinley slaps"
14,2022-03-31T11:39:24.000Z,1509495573119844357,"After spending years educating the youth I work with to control their anger, manage their emotions, take deep breaths and count backwards from 10, WS just had to spoil it all in one day! Tsk.. tsk.. tsk… #ViolenceIsNeverTheAnswer #Oscars2022"
15,2022-03-31T11:38:55.000Z,1509495453531975693,"It was not just the slap!
#Oscars2022
#Slapgate"
16,2022-03-31T11:38:32.000Z,1509495357432074245,"furnace, and we come out better with each day finer than the last?

Human nature should not be an excuse for poor living; instead, it should be grounds for an excellent lifestyle.

#willsmith #chrisrock #Oscars2022"
17,2022-03-31T11:37:16.000Z,1509495037033435141,#Oscars2022 what he did to Chris Rock is assault millions of people watching and that just do nothing except console the idiot who get his Oscar taken away what is wrong with people if it was any1 else there would be consequences but not for this idiot.
18,2022-03-31T11:34:21.000Z,1509494301016969227,What is appalling to me about the #Oscars2022  is that @chrisrock made a movie called #goodhair for his #daughters…Yet made a black woman's hair...his joke. #fatherhood #Cash4Claps #alopeciaisnojoke
19,2022-03-31T11:33:26.000Z,1509494070539952132,Blown away #CodaFilm #deaftalent absolutely incredible ❤️ #deafculture let’s focus on this #Oscars2022
20,2022-03-31T11:28:13.000Z,1509492759882702852,"If Jeff Foxworthy was brazenly disrespectful and cringe to Blake Lively and then Ryan Reynolds proceeded to b*tch-slap Jeff on the Oscar’s stage, would be be having these pearl-clutching overreactions? I think not.

#Oscars #Oscars2022 #SlapGate"
21,2022-03-31T11:26:02.000Z,1509492208738926594,Who else is conflicted with all the comments about Will smith at the Oscar’s? #Oscars2022 #WillSmithAssault
22,2022-03-31T11:24:09.000Z,1509491734618816522,"@ImranKhanPTI   let them REMOVE U but pLEASE PUT MARTIAL LAW 
 NOT LET THESE TATTUS @BBhuttoZardari and daughter of porn addict and pervert Nawaz @MaryamNSharif in power cuz they will rape Pakistan with hindus India #UkraineWar #Ukrainian #Russian #Russia #Oscars2022 #StopPutin"
23,2022-03-31T11:22:08.000Z,1509491227607060483,"You can crack jokes about a man and he's cool with it but don't make offensive jokes about his family.. That's way out of line and utterly disrespectful!!! I would have done the same if I were in Will's shoes.
Family is completely out of the line!!
#Willsmith 
#Oscars2022"
24,2022-03-31T11:19:28.000Z,1509490559114780674,"Things we don't talk about
1.Bruno
2.jada

#Oscars2022 #WillSmith #ChrisRock #JadaPinkettSmith"
25,2022-03-31T11:18:36.000Z,1509490339022737408,"Bully = Confrontational Self
NFT = Generational Wealth
you can't block stage, if you can't block rage
#Oscars2022"
26,2022-03-31T11:18:35.000Z,1509490335319216136,The Academy has woken up? A bit late don’t you think? Shame on you. #Oscars2022
27,2022-03-31T11:17:52.000Z,1509490155605925893,My heart breaks for millionaires feeling “triggered and traumatized” over a weak looking slap for insulting another person’s wife with a lame joke. #Oscars2022
28,2022-03-31T11:13:53.000Z,1509489151460229123,"#WillSmith was my favorite actor, but the more I learn about the #Oscars2022 slap, the worse my opinion of him becomes"
29,2022-03-31T11:11:24.000Z,1509488527955869699,"Yet another stupid ass comment being made of how a white man set up chris rock to be slapped, a white man put that joke in there....fuck off fuck right off. dont take it there. It was a stupid c**not who slapped a man #sickoflies #Oscars2022"
